created_at,id_str,source,in_reply_to_status_id_str,in_reply_to_user_id_str,in_reply_to_screen_name,user_id_str,user_name,user_screen_name,is_quote_status,quote_count,reply_count,retweet_count,favorite_count,full_text,entities_hashtags,entities_user_mentions
2019-03-08 03:03,1.10374802631568E+018,None,None,3141030385,digibank,None,Sylesh Suryakumar!,IAmSSylesh,None,None,0,0,0,Okay! Thank you so much! I greatly look forward to it.,,
2019-03-07 23:26,1.10369343682836E+018,None,None,,,None,Ankit Rakwal Thakur,AnkitRakwal,None,None,1,0,0,@digibank @dbsbank unable to add money via UPI. Always getting error something went wrong or youve exceeded the number of upi attempts How many attempts do i get per month?,,digibank dbsbank
2019-03-07 22:52,1.10368475068477E+018,None,None,,,None,arsya_azka slankers,slankers_arsya,None,None,1,0,0,@digibank saya mau tanya.tgl 21 januari 2019 saya dapat sms dari dbs indo bahwa permohonan kartu kredit saya disetujui.tapi ssmpai hari ini kartunya belum saya terima dan rabu kemarin 6 maret 2019 saya dapat sms lagi begini.maksudnya bagaimana ya ,,digibank
2019-03-07 22:49,1.10368422377956E+018,None,None,,,None,Advocate Bhupender singh,GoluBhupi,None,None,1,0,0,@digibank made a fd at 7.2% but interest is being credited at 5.3% how this is done do know. Should i have withdraw the fd amount and put it with other bank like @HDFC_Bank or @TheOfficialSBI,,digibank HDFC_Bank TheOfficialSBI
2019-03-07 19:23,1.10363231464558E+018,None,None,,,None,Amit Bhattacharjee,amit270364,None,None,1,0,0,"@digibank Hi, cant login on the app for quite some time now. Is there any issue?",,digibank
2019-03-07 18:39,1.1036212641266E+018,None,None,3141030385,digibank,None,Abdul Hakim,lagirapuhh,None,None,1,0,0,"Ive called the indonesia representative call center, thankyou for your respond but my problem has been solved.",,
2019-03-07 17:34,1.10360482322679E+018,None,None,3141030385,digibank,None,Sylesh Suryakumar!,IAmSSylesh,None,None,0,0,0,"Okay, please do!",,
2019-03-07 16:49,1.10359345279562E+018,None,None,,,None,Abdul Hakim,lagirapuhh,None,None,1,0,0,"@digibank @dbs_care Hey, im new to Digibank, tried to open an account, and now i want to do biometric verification. but whenever i open a booth location, im always default to Bandung, while i am living in Surabaya. whenever i tried to open Surabaya, i cant see the detail info.",,digibank dbs_care
2019-03-07 15:53,1.10357947137686E+018,None,None,3141030385,digibank,None,పినవ,pnvarma,None,None,1,0,0,Not of much use to customers like me then! Ummm...,,
2019-03-07 10:50,1.10350312420595E+018,None,None,,,None,Nishikant Tripathi,tripnis,None,None,1,0,0,"@digibank Hi, one of my transaction got debited from my account, but was not deposited in payees account as well as was not refunded. Transaction id:M24035. Please look into this.",,digibank
2019-03-07 09:52,1.1034884894322E+018,None,None,3141030385 2152411651,digibank DBSBankIndia,None,Mr.Aradhya_154,aradhyabms,None,None,1,0,0,How a nominee can claim remaining account balance under dbs digibank in case of account holder death !?,,
2019-03-06 19:16,1.10326801520484E+018,None,None,3141030385,digibank,None,పినవ,pnvarma,None,None,1,0,0,"Please elaborate on how this move will be beneficial for me, a Digibank customer. You are still a mobile only offering, right? Can I deposit cash or cheques too now in the Hyderabad branch? Can I withdraw cash at the branch?",,
2019-03-06 19:10,1.10326665764705E+018,None,None,,,None,Api.,sunfIawers,None,None,1,0,0,"@digibank @dbs_care tried to login on my digibank app for countless times but it only gave me load and load again, care to give a help?",,digibank dbs_care
